key,targname,tarkey1,type,equinox,obs_time,ra_targ,dec_targ,ra_calc,dec_calc,offset_arcsec,epoch_gap_yr,nongrav,other,has_lv2
4549/y1kg0201t_shf.fits,COMET-WKI1,"COMET WKI NUCLEUS, PHASE = 31 DEGREES",COMET,B1950,15-SEP-1993:14:48:56,71.454261,-12.767461,71.464257,-12.767283,35.102,0.21,False,False,False
17780/lfee01feq_spt.fits,3IATLAS,COMET,COMET,J2000,16-DEC-2025:00:41:53,165.226534,5.834119,165.217760,5.836207,32.309,0.39,True,False,False
7315/o5jh01010_spt.fits,COMET-LEE,COMET,COMET,J2000,07-JUN-1999:01:17:22,127.058928,9.529989,127.057068,9.538401,30.992,0.07,False,False,False
11972/ubaj6101m_shm.fits,C1995O1-HALE-BOPP,COMET,COMET,J2000,07-MAR-2009:22:23:35,25.360165,-83.619153,25.285208,-83.620944,30.671,12.13,True,False,False
12312/lbk606iqq_spt.fits,103P-HARTLEY-2-B,COMET,COMET,J2000,04-NOV-2010:05:01:35,106.590089,7.204775,106.591606,7.196651,29.744,0.00,True,False,False
13492/lccw05exq_spt.fits,COMET-ISON-EPOCH2,COMET,COMET,J2000,01-NOV-2013:15:00:15,168.890625,5.950924,168.897456,5.947381,27.585,0.00,False,False,False
16111/ie9c11ddq_spt.fits,C2019-Y4,COMET,COMET,J2000,20-APR-2020:13:28:39,90.101220,64.275677,90.084468,64.273488,27.337,0.12,True,False,False
13229/ic7i30trq_spt.fits,ISON-DEC2013,COMET,COMET,J2000,18-DEC-2013:20:54:02,243.097373,25.510796,243.097761,25.517951,25.788,0.00,False,False,False
18152/ifle03geq_spt.fits,3I-ATLAS-DEC1,COMET,COMET,J2000,27-DEC-2025:16:00:39,151.468214,10.365016,151.461155,10.366516,25.574,0.40,True,False,False
14103/icvb12coq_spt.fits,252P-1,COMET,COMET,J2000,14-MAR-2016:05:49:33,88.353898,-55.287313,88.354852,-55.293899,23.787,0.00,False,False,False
7312/o421a1010_spt.fits,ENCKE,COMET,COMET,J2000,01-JUL-1997:05:11:40,117.763543,-37.039713,117.770465,-37.043312,23.737,0.08,False,False,False
7428/u4jm0104r_shm.fits,TEMPEL-TUTTLE,COMET,COMET,J2000,09-JAN-1998:13:12:39,185.448208,51.833519,185.446280,51.839657,22.509,0.00,False,False,False
7315/o5jh11010_spt.fits,COMET-LEE2,COMET,COMET,J2000,21-AUG-1999:07:50:13,103.194283,44.977184,103.188637,44.981919,22.299,0.14,False,False,False
18152/ifle04pdq_spt.fits,3I-ATLAS-DEC17,COMET,COMET,J2000,07-JAN-2026:15:33:37,138.546658,14.055933,138.540475,14.056868,21.851,0.42,True,False,False
6591/y3a40501t_shf.fits,HYAKUTAKE,COMET HYAKUTAKE,COMET,J2000,02-JUN-1996:09:37:41,47.678993,-24.190420,47.682332,-24.195204,20.415,0.08,False,False,False
